category,kpi_number,kpi_name,metric_name,value,unit,formula,bigquery_fields,data_source,period,status,threshold,threshold_status,interpretation,cmo_action
REVENUE,1,Total Purchase Revenue,jan_orders,895,count,"COUNT(DISTINCT ecommerce.transaction_id) WHERE event_name = 'purchase' AND month = '2021-01'","ecommerce.transaction_id, event_name, event_date",DS1 - Revenue,January 2021,Baseline,N/A,Baseline,January transaction count,Lowest volume month - confirms post-holiday demand drop

REVENUE,2,Average Order Value,nov_aov,114.58,USD,"SUM(revenue) / COUNT(DISTINCT transaction_id) WHERE month = '2020-11'","ecommerce.purchase_revenue, ecommerce.transaction_id, event_date",DS1 - Revenue,November 2020,Strong,80,Above Target,Highest AOV month - pre-holiday customers spend more per transaction,Replicate November product mix and campaigns for future non-peak periods
REVENUE,2,Average Order Value,dec_aov,69.47,USD,"SUM(revenue) / COUNT(DISTINCT transaction_id) WHERE month = '2020-12'","ecommerce.purchase_revenue, ecommerce.transaction_id, event_date",DS1 - Revenue,December 2020,Watch,80,Below Target,December AOV dropped 39% vs November despite peak volume - gifting drives lower-value purchases,Introduce minimum basket free shipping threshold in early November to protect Dec AOV
REVENUE,2,Average Order Value,jan_aov,64.08,USD,"SUM(revenue) / COUNT(DISTINCT transaction_id) WHERE month = '2021-01'","ecommerce.purchase_revenue, ecommerce.transaction_id, event_date",DS1 - Revenue,January 2021,Watch,80,Below Target,January AOV lowest of three months - post-holiday deflation mild but present,Consider bundle promotions in January to lift basket size
REVENUE,2,Average Order Value,full_period_aov,81.35,USD,"SUM(ecommerce.purchase_revenue) / COUNT(DISTINCT ecommerce.transaction_id) WHERE event_name = 'purchase'","ecommerce.purchase_revenue, ecommerce.transaction_id",DS1 - Revenue,Nov 2020 - Jan 2021,Met,80,Above Target,Full period AOV - true weighted average across all 4452 transactions,Monitor monthly to detect basket size erosion early

FUNNEL,3,End-to-End Conversion Rate,end_to_end_cvr,1.65,percent,"COUNT(DISTINCT buyers) / COUNT(DISTINCT session_starters) * 100","user_pseudo_id WHERE event_name IN ('session_start','purchase')",DS2 - Funnel,Nov 2020 - Jan 2021,Met,2.0,Within Benchmark,1.65% sits within 1-3% industry benchmark - site not critically underperforming,Address homepage navigation to improve top-of-funnel entry to product pages
FUNNEL,3,Funnel Stage - Session Start,session_start_users,267116,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'session_start'",user_pseudo_id,DS2 - Funnel,Nov 2020 - Jan 2021,Baseline,N/A,Baseline,Total unique sessions entering the funnel - 100% baseline,All subsequent funnel stages calculated as percentage of this number
FUNNEL,3,Funnel Stage - View Item,view_item_users,61252,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'view_item'",user_pseudo_id,DS2 - Funnel,Nov 2020 - Jan 2021,Critical,N/A,Critical Drop,Only 22.9% of sessions reach a product page - largest absolute loss in funnel,URGENT: Fix homepage navigation and landing page routing - 205864 visitors never see a product
FUNNEL,3,Funnel Stage - Add to Cart,add_to_cart_users,12545,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'add_to_cart'",user_pseudo_id,DS2 - Funnel,Nov 2020 - Jan 2021,Watch,N/A,Low,4.7% of sessions reach cart - 20.5% of product viewers add to cart,Improve product page CTAs and product imagery to lift add-to-cart rate
FUNNEL,3,Funnel Stage - Begin Checkout,begin_checkout_users,9715,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'begin_checkout'",user_pseudo_id,DS2 - Funnel,Nov 2020 - Jan 2021,Strong,N/A,Good Stage Rate,77.4% of cart adders proceed to checkout - strong intent signal at this stage,Protect this strong conversion - any checkout UX changes must be tested carefully
FUNNEL,3,Funnel Stage - Purchase,purchase_users,4419,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'purchase'",user_pseudo_id,DS2 - Funnel,Nov 2020 - Jan 2021,Watch,N/A,Below Benchmark,1.65% end-to-end completion rate - 45.5% of checkout starters complete purchase,Address checkout abandonment to recover high-intent users
FUNNEL,3,Stage CVR - Session to View Item,stage_cvr_session_to_view,22.9,percent,"view_item_users / session_start_users * 100","user_pseudo_id WHERE event_name IN ('session_start','view_item')",DS2 - Funnel,Nov 2020 - Jan 2021,Critical,50,Critical,Biggest drop in funnel - 77.1% of visitors never see a product,Route: UX and Product team - audit homepage layout and navigation structure
FUNNEL,3,Stage CVR - View Item to Add to Cart,stage_cvr_view_to_cart,20.5,percent,"add_to_cart_users / view_item_users * 100","user_pseudo_id WHERE event_name IN ('view_item','add_to_cart')",DS2 - Funnel,Nov 2020 - Jan 2021,Watch,30,Below Benchmark,Only 1 in 5 product viewers adds to cart - product pages need improvement,Audit product page images copy pricing and CTAs
FUNNEL,3,Stage CVR - Add to Cart to Checkout,stage_cvr_cart_to_checkout,77.4,percent,"begin_checkout_users / add_to_cart_users * 100","user_pseudo_id WHERE event_name IN ('add_to_cart','begin_checkout')",DS2 - Funnel,Nov 2020 - Jan 2021,Strong,60,Above Benchmark,Strongest stage in the funnel - users who add to cart are highly motivated,Maintain this - do not introduce friction at cart stage
FUNNEL,3,Stage CVR - Checkout to Purchase,stage_cvr_checkout_to_purchase,45.5,percent,"purchase_users / begin_checkout_users * 100","user_pseudo_id WHERE event_name IN ('begin_checkout','purchase')",DS2 - Funnel,Nov 2020 - Jan 2021,Watch,50,Below Target,54.5% of checkout starters do not complete purchase,Route: UX and Dev team - audit checkout payment options form length trust badges

FUNNEL,4,Checkout Abandonment Rate,checkout_abandonment_rate,54.51,percent,"(begin_checkout_users - purchase_users) / begin_checkout_users * 100","user_pseudo_id WHERE event_name IN ('begin_checkout','purchase')",DS2 - Funnel,Nov 2020 - Jan 2021,Alert,50,Above Threshold,5296 high-intent users started checkout and did not buy - above 50% threshold,Audit checkout: payment variety form length mobile UX trust signals. Recovering 10% = ~$43000 additional revenue
FUNNEL,4,Checkout Abandonment Rate,checkout_users,9715,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'begin_checkout'",user_pseudo_id,DS2 - Funnel,Nov 2020 - Jan 2021,Baseline,N/A,Baseline,Total users who initiated checkout process,Denominator for abandonment rate calculation
FUNNEL,4,Checkout Abandonment Rate,abandoned_users,5296,count,"begin_checkout_users - purchase_users","user_pseudo_id WHERE event_name IN ('begin_checkout','purchase')",DS2 - Funnel,Nov 2020 - Jan 2021,Alert,N/A,High Volume Lost,5296 high-intent users lost at final stage - highest value loss point in funnel,Revenue recovery potential: 5296 x $81.35 AOV x 10% recovery = ~$43083
FUNNEL,4,Checkout Abandonment Rate,revenue_recovery_potential,43083.0,USD,"abandoned_users * full_period_aov * 0.10",Calculated from abandonment and AOV metrics,Derived,Nov 2020 - Jan 2021,Opportunity,N/A,High ROI Fix,Estimated additional revenue from recovering 10% of abandoned checkouts,Highest ROI fix available - no acquisition cost required

TRAFFIC,5,Revenue by Traffic Channel,organic_revenue,104007.0,USD,"SUM(ecommerce.purchase_revenue) WHERE event_name = 'purchase' AND traffic_source.medium = 'organic'","ecommerce.purchase_revenue, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Strong,N/A,Top Channel,Organic search is the dominant revenue channel at 28.7% of total,Continue investing in SEO and content - highest volume real channel
TRAFFIC,5,Revenue by Traffic Channel,organic_revenue_pct,28.7,percent,"organic_revenue / total_revenue * 100","ecommerce.purchase_revenue, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Strong,N/A,Top Channel,Organic drives more than a quarter of all revenue,Organic is the most efficient channel - scale content investment
TRAFFIC,5,Revenue by Traffic Channel,referral_revenue,83521.0,USD,"SUM(ecommerce.purchase_revenue) WHERE event_name = 'purchase' AND traffic_source.medium = 'referral'","ecommerce.purchase_revenue, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Strong,N/A,Second Channel,Referral is second strongest channel - pre-qualified traffic converts well,Identify top referral domains and invest in more referral partnerships
TRAFFIC,5,Revenue by Traffic Channel,referral_revenue_pct,23.1,percent,"referral_revenue / total_revenue * 100","ecommerce.purchase_revenue, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Strong,N/A,Second Channel,Referral drives nearly a quarter of total revenue,Scale referral channel - highest CVR of all real channels at 1.89%
TRAFFIC,5,Revenue by Traffic Channel,cpc_revenue,9056.0,USD,"SUM(ecommerce.purchase_revenue) WHERE event_name = 'purchase' AND traffic_source.medium = 'cpc'","ecommerce.purchase_revenue, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Weak,N/A,Underperforming,CPC generates only 2.5% of total revenue despite significant session volume,Reduce CPC budget allocation immediately - reallocate to referral and organic content
TRAFFIC,5,Revenue by Traffic Channel,cpc_revenue_pct,2.5,percent,"cpc_revenue / total_revenue * 100","ecommerce.purchase_revenue, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Weak,N/A,Underperforming,CPC earns 11x less than organic despite similar investment,CPC ROI is critically low - audit targeting and landing page alignment
TRAFFIC,5,Revenue by Traffic Channel,unattributed_revenue_pct,45.7,percent,"(none_rev + data_deleted_rev + other_rev) / total_revenue * 100","ecommerce.purchase_revenue, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Note,N/A,Data Limitation,45.7% of revenue shows as unattributed due to dataset obfuscation,Note for CMO: in live GA4 implementation these would carry proper channel attribution

TRAFFIC,6,Conversion Rate by Channel,organic_cvr,1.19,percent,"organic_buyers / organic_sessions * 100","user_pseudo_id, traffic_source.medium WHERE event_name IN ('session_start','purchase')",DS3 - Channel,Nov 2020 - Jan 2021,Met,1.0,Above Threshold,Organic CVR above 1% threshold - acceptable efficiency for broad traffic channel,Organic brings high volume with decent quality - maintain SEO investment
TRAFFIC,6,Conversion Rate by Channel,organic_sessions,111346,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'session_start' AND traffic_source.medium = 'organic'","user_pseudo_id, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Baseline,N/A,Highest Volume,Organic is the highest volume channel by far - 41.6% of all sessions,High volume with moderate CVR - homepage fix will disproportionately benefit organic traffic
TRAFFIC,6,Conversion Rate by Channel,organic_buyers,1323,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'purchase' AND traffic_source.medium = 'organic'","user_pseudo_id, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Baseline,N/A,Top Buyer Source,Organic produces the most buyers of any real channel,Organic buyer volume is strong - focus on converting more of the 111k sessions
TRAFFIC,6,Conversion Rate by Channel,referral_cvr,1.89,percent,"referral_buyers / referral_sessions * 100","user_pseudo_id, traffic_source.medium WHERE event_name IN ('session_start','purchase')",DS3 - Channel,Nov 2020 - Jan 2021,Strong,1.0,Best Real Channel,Referral has the highest CVR of all real channels at 1.89% - nearly double organic,Scale referral partnerships - these users arrive pre-qualified and purchase at highest rate
TRAFFIC,6,Conversion Rate by Channel,referral_sessions,54380,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'session_start' AND traffic_source.medium = 'referral'","user_pseudo_id, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Baseline,N/A,Second Volume,Referral is second highest volume real channel,Grow referral volume - highest CVR means each new session is most likely to convert
TRAFFIC,6,Conversion Rate by Channel,referral_buyers,1026,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'purchase' AND traffic_source.medium = 'referral'","user_pseudo_id, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Strong,N/A,Strong Channel,Referral produces strong buyer numbers relative to session volume,Invest in referral partner development - best quality traffic source
TRAFFIC,6,Conversion Rate by Channel,cpc_cvr,0.98,percent,"cpc_buyers / cpc_sessions * 100","user_pseudo_id, traffic_source.medium WHERE event_name IN ('session_start','purchase')",DS3 - Channel,Nov 2020 - Jan 2021,Alert,1.0,Below Threshold,CPC CVR below 1% action threshold - paid search targeting or landing page misaligned,Audit CPC: review keyword targeting audience segments and landing page relevance
TRAFFIC,6,Conversion Rate by Channel,cpc_sessions,15450,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'session_start' AND traffic_source.medium = 'cpc'","user_pseudo_id, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Watch,N/A,Low Efficiency,15450 sessions generating only 152 buyers - 1 in 102 converts,High spend low return - reallocate paid budget to referral development
TRAFFIC,6,Conversion Rate by Channel,cpc_buyers,152,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'purchase' AND traffic_source.medium = 'cpc'","user_pseudo_id, traffic_source.medium",DS3 - Channel,Nov 2020 - Jan 2021,Weak,N/A,Lowest Buyer Count,CPC produces fewest buyers of all channels relative to session investment,152 buyers from 15450 sessions - organic produces 9x more buyers from similar investment

PRODUCT,7,Top Product Revenue Concentration,top5_sku_revenue_pct,14.8,percent,"SUM(top5_sku_revenue) / total_revenue * 100","items.item_name, items.price, items.quantity via UNNEST(items)",DS4 - Products,Nov 2020 - Jan 2021,Healthy,60.0,Well Below Threshold,Top 5 SKUs account for only 14.8% - no concentration risk - portfolio is resilient,No single product failure can significantly damage overall performance - diversification is strong
PRODUCT,7,Top Product Revenue Concentration,product_1_name,Google Zip Hoodie F/C,text,N/A,"items.item_name WHERE event_name = 'purchase'",DS4 - Products,Nov 2020 - Jan 2021,Top SKU,N/A,Top Revenue Product,Top revenue generating product across full period,Prioritise in marketing campaigns and ensure stock availability
PRODUCT,7,Top Product Revenue Concentration,product_1_revenue,13788.0,USD,"SUM(items.price * items.quantity) WHERE item_name = 'Google Zip Hoodie F/C'","items.price, items.quantity, items.item_name",DS4 - Products,Nov 2020 - Jan 2021,Top SKU,N/A,Top Revenue,Revenue from top SKU,3.8% of total revenue - healthy non-dominant share
PRODUCT,7,Top Product Revenue Concentration,product_1_units,273,count,"SUM(items.quantity) WHERE item_name = 'Google Zip Hoodie F/C'","items.quantity, items.item_name",DS4 - Products,Nov 2020 - Jan 2021,Top SKU,N/A,High Volume,Unit sales for top product,273 units at avg $50.51 per unit
PRODUCT,7,Top Product Revenue Concentration,product_1_pct,3.8,percent,"product_1_revenue / total_revenue * 100","items.price, items.quantity, items.item_name",DS4 - Products,Nov 2020 - Jan 2021,Healthy,N/A,Healthy Share,3.8% revenue share - well within healthy concentration range,No over-dependence on single SKU
PRODUCT,7,Top Product Revenue Concentration,product_2_name,Google Crewneck Sweatshirt N,text,N/A,"items.item_name WHERE event_name = 'purchase'",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Second Revenue Product,Second highest revenue product,Strong performer - include in marketing focus
PRODUCT,7,Top Product Revenue Concentration,product_2_revenue,10714.0,USD,"SUM(items.price * items.quantity) WHERE item_name = 'Google Crewneck Sweatshirt N'","items.price, items.quantity, items.item_name",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Strong Revenue,Revenue from second SKU,3.0% of total revenue
PRODUCT,7,Top Product Revenue Concentration,product_3_name,Google Men's Tech Fleece Grey,text,N/A,"items.item_name WHERE event_name = 'purchase'",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Third Revenue Product,Third highest revenue product,2.7% revenue share
PRODUCT,7,Top Product Revenue Concentration,product_3_revenue,9964.0,USD,"SUM(items.price * items.quantity) WHERE item_name = 'Google Men''s Tech Fleece Grey'","items.price, items.quantity, items.item_name",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Strong Revenue,Revenue from third SKU,$9964 across full period
PRODUCT,7,Top Product Revenue Concentration,product_4_name,Google Badge Heavyweight Pullover,text,N/A,"items.item_name WHERE event_name = 'purchase'",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Fourth Revenue Product,Fourth highest revenue product,2.7% revenue share matching product 3
PRODUCT,7,Top Product Revenue Concentration,product_4_revenue,9702.0,USD,"SUM(items.price * items.quantity) WHERE item_name = 'Google Badge Heavyweight Pullover'","items.price, items.quantity, items.item_name",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Strong Revenue,Revenue from fourth SKU,$9702 across full period
PRODUCT,7,Top Product Revenue Concentration,product_5_name,Super G Unisex Joggers,text,N/A,"items.item_name WHERE event_name = 'purchase'",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Fifth Revenue Product,Fifth highest revenue product - highest unit volume at 308 units sold,High volume lower price - good candidate for promotional campaigns to drive order count
PRODUCT,7,Top Product Revenue Concentration,product_5_revenue,9548.0,USD,"SUM(items.price * items.quantity) WHERE item_name = 'Super G Unisex Joggers'","items.price, items.quantity, items.item_name",DS4 - Products,Nov 2020 - Jan 2021,Strong SKU,N/A,Strong Revenue,Revenue from fifth SKU - 308 units at approx $31 per unit,Highest unit volume of top 5 - accessible price point drives volume

DEVICE,8,Device Conversion Gap,desktop_traffic_pct,57.9,percent,"desktop_sessions / total_sessions * 100","device.category WHERE event_name = 'session_start'",DS5 - Device,Nov 2020 - Jan 2021,Baseline,N/A,Dominant Traffic,Desktop drives majority of traffic at 57.9% of all sessions,Desktop is primary traffic source - ensure desktop experience is optimised
DEVICE,8,Device Conversion Gap,desktop_purchase_pct,56.6,percent,"desktop_buyers / total_buyers * 100","device.category WHERE event_name = 'purchase'",DS5 - Device,Nov 2020 - Jan 2021,Baseline,N/A,Dominant Purchase,Desktop drives 56.6% of purchases - proportional to traffic share,Desktop purchase share closely matches traffic share - healthy
DEVICE,8,Device Conversion Gap,desktop_gap_ppts,-1.3,percentage_points,"desktop_purchase_pct - desktop_traffic_pct","device.category WHERE event_name IN ('session_start','purchase')",DS5 - Device,Nov 2020 - Jan 2021,Neutral,30,Well Within Threshold,Desktop slightly under-indexes on purchases vs traffic - within normal range,No action needed - gap is negligible at -1.3 ppts
DEVICE,8,Device Conversion Gap,desktop_sessions,157079,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'session_start' AND device.category = 'desktop'","user_pseudo_id, device.category",DS5 - Device,Nov 2020 - Jan 2021,Baseline,N/A,High Volume,Desktop session count - highest of all devices,Largest device segment - prioritise desktop homepage fix for maximum impact
DEVICE,8,Device Conversion Gap,desktop_buyers,2541,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'purchase' AND device.category = 'desktop'","user_pseudo_id, device.category",DS5 - Device,Nov 2020 - Jan 2021,Baseline,N/A,Top Buyer Device,Desktop produces most buyers in absolute terms,2541 desktop buyers vs 1851 mobile - desktop still top absolute buyer source
DEVICE,8,Device Conversion Gap,mobile_traffic_pct,39.8,percent,"mobile_sessions / total_sessions * 100","device.category WHERE event_name = 'session_start'",DS5 - Device,Nov 2020 - Jan 2021,Strong,N/A,Strong Mobile Traffic,Mobile drives 39.8% of all sessions - significant traffic share,High mobile traffic with strong conversion parity - competitive advantage
DEVICE,8,Device Conversion Gap,mobile_purchase_pct,41.2,percent,"mobile_buyers / total_buyers * 100","device.category WHERE event_name = 'purchase'",DS5 - Device,Nov 2020 - Jan 2021,Strength,N/A,Over-Indexes,Mobile purchase share EXCEEDS traffic share - unusually strong mobile conversion,This is a competitive strength - mobile UX is working well - do not change checkout flow
DEVICE,8,Device Conversion Gap,mobile_gap_ppts,1.4,percentage_points,"mobile_purchase_pct - mobile_traffic_pct","device.category WHERE event_name IN ('session_start','purchase')",DS5 - Device,Nov 2020 - Jan 2021,Strength,30,Positive Gap,Mobile over-indexes on purchases by 1.4 ppts - contradicts typical ecommerce pattern,Positive gap means mobile UX is already strong - no investment needed here
DEVICE,8,Device Conversion Gap,mobile_sessions,107981,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'session_start' AND device.category = 'mobile'","user_pseudo_id, device.category",DS5 - Device,Nov 2020 - Jan 2021,Strong,N/A,High Mobile Volume,107981 mobile sessions - 40.4% of total sessions,Strong mobile traffic with good conversion - mobile is pulling its weight
DEVICE,8,Device Conversion Gap,mobile_buyers,1851,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'purchase' AND device.category = 'mobile'","user_pseudo_id, device.category",DS5 - Device,Nov 2020 - Jan 2021,Strong,N/A,Strong Mobile Buyers,1851 mobile buyers - proportionally higher than mobile traffic share,Mobile converts at rate above its traffic share - rare and valuable
DEVICE,8,Device Conversion Gap,tablet_traffic_pct,2.3,percent,"tablet_sessions / total_sessions * 100","device.category WHERE event_name = 'session_start'",DS5 - Device,Nov 2020 - Jan 2021,Baseline,N/A,Small Segment,Tablet is a minor traffic source at 2.3% of sessions,Tablet is negligible segment - no specific investment justified
DEVICE,8,Device Conversion Gap,tablet_purchase_pct,2.2,percent,"tablet_buyers / total_buyers * 100","device.category WHERE event_name = 'purchase'",DS5 - Device,Nov 2020 - Jan 2021,Baseline,N/A,Neutral,Tablet purchase share matches traffic share - neutral performance,No action needed for tablet segment
DEVICE,8,Device Conversion Gap,tablet_gap_ppts,-0.1,percentage_points,"tablet_purchase_pct - tablet_traffic_pct","device.category WHERE event_name IN ('session_start','purchase')",DS5 - Device,Nov 2020 - Jan 2021,Neutral,30,Negligible,Tablet gap is negligible at -0.1 ppts,No action required

ACTION_TRIGGERS,0,CMO Action 1,action_name,Fix homepage navigation,text,N/A,N/A,Derived,Nov 2020 - Jan 2021,CRITICAL,N/A,Action Required,77.1% of 267116 sessions never view a product - largest volume leak in funnel,Route to UX and Product team immediately - audit homepage layout navigation structure and primary CTAs
ACTION_TRIGGERS,0,CMO Action 1,estimated_sessions_impacted,205864,count,"session_start_users - view_item_users",Calculated from funnel data,Derived,Nov 2020 - Jan 2021,CRITICAL,N/A,Action Required,205864 people visited but never saw a product,Even improving from 22.9% to 30% view rate would add ~19000 product viewers
ACTION_TRIGGERS,0,CMO Action 2,action_name,Audit checkout flow,text,N/A,N/A,Derived,Nov 2020 - Jan 2021,CRITICAL,N/A,Action Required,54.51% abandonment rate above 50% threshold - 5296 high intent users lost,Route to UX and Dev team - review payment options form fields trust signals mobile checkout
ACTION_TRIGGERS,0,CMO Action 2,revenue_recovery_estimate,43083.0,USD,"5296 * 81.35 * 0.10",Calculated from abandonment users and full period AOV,Derived,Nov 2020 - Jan 2021,CRITICAL,N/A,High ROI Opportunity,Recovering 10% of abandoned checkouts = ~$43083 without any acquisition spend,Highest ROI fix available - no marketing budget required
ACTION_TRIGGERS,0,CMO Action 3,action_name,Reallocate CPC budget,text,N/A,N/A,Derived,Nov 2020 - Jan 2021,HIGH PRIORITY,N/A,Action Required,CPC generates $9056 on 15450 sessions at 0.98% CVR - weakest channel,Route to performance marketing team - reduce CPC spend reallocate to referral partnership development
ACTION_TRIGGERS,0,CMO Action 3,organic_vs_cpc_ratio,11.5,ratio,"organic_revenue / cpc_revenue",Calculated from channel revenue data,Derived,Nov 2020 - Jan 2021,HIGH PRIORITY,N/A,Clear Imbalance,Organic earns 11.5x more revenue than CPC - paid search dramatically underperforms,If CPC budget were reallocated to referral at 1.89% CVR the revenue impact would be significant
ACTION_TRIGGERS,0,CMO Action 4,action_name,Protect December AOV,text,N/A,N/A,Derived,Nov 2020 - Jan 2021,MONITOR,N/A,Plan Required,Dec AOV dropped 39% vs November ($69 vs $115) - holiday volume deflates basket size,Route to merchandising and CRM - introduce bundle promos and minimum basket free shipping in November
ACTION_TRIGGERS,0,CMO Action 4,aov_decline_nov_to_dec,45.11,USD,"nov_aov - dec_aov",Calculated from monthly AOV data,Derived,Nov 2020 - Jan 2021,MONITOR,N/A,Significant Drop,$45 AOV decline from November to December peak - each Dec order worth significantly less,Protecting even $20 of AOV across 2311 Dec orders = $46220 additional revenue
